"","LGG_1","LGG_2","LGG_3","LGG_4","LGG_5","GBM_1","GBM_2","GBM_3","GBM_4","GBM_5","LUSC_1","LUSC_2","LUSC_3","LUSC_4","LUSC_5","LUAD_1","LUAD_2","LUAD_3","LUAD_4","LUAD_5"
"1",1.99847198281624,1.99847198281624,1.99847198281624,2.2227376567299,2.2227376567299,2.2227376567299,1.99847198281624,1.39343607214295,2.51355378326938,1.99847198281624,1.99847198281624,2.51355378326938,3.28816312231306,1.39343607214295,2.2227376567299,3.00903964286003,2.82592155655245,3.9439750792288,2.82592155655245,3.51933670705306
"2",2.2227376567299,2.2227376567299,1.71655744500441,1.99847198281624,1.99847198281624,1.39343607214295,2.51355378326938,1.71655744500441,1.71655744500441,2.2227376567299,2.2227376567299,1.99847198281624,3.51933670705306,1.71655744500441,2.51355378326938,2.82592155655245,2.51355378326938,2.51355378326938,2.2227376567299,2.51355378326938
"3",3.00903964286003,3.28816312231306,2.51355378326938,3.28816312231306,3.7265935541539,2.51355378326938,2.2227376567299,2.2227376567299,3.00903964286003,2.51355378326938,2.82592155655245,2.82592155655245,3.00903964286003,3.51933670705306,3.00903964286003,3.28816312231306,3.7265935541539,3.00903964286003,3.7265935541539,3.28816312231306
"4",4.85307627095734,3.51933670705306,4.85307627095734,4.85307627095734,4.85307627095734,4.85307627095734,4.29104118435006,4.85307627095734,4.85307627095734,3.28816312231306,0.328590812913664,0.81383869464764,0.328590812913664,2.82592155655245,0.328590812913664,0.81383869464764,0.328590812913664,1.99847198281624,1.39343607214295,0.81383869464764
"5",4.29104118435006,4.85307627095734,3.7265935541539,4.29104118435006,4.29104118435006,4.29104118435006,4.85307627095734,4.29104118435006,4.29104118435006,4.85307627095734,4.85307627095734,6.52461610474003,6.52461610474003,4.29104118435006,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003
"6",2.51355378326938,1.71655744500441,2.2227376567299,2.51355378326938,2.82592155655245,3.28816312231306,1.39343607214295,2.51355378326938,2.2227376567299,1.71655744500441,0.81383869464764,2.2227376567299,0.81383869464764,1.99847198281624,0.81383869464764,0.328590812913664,0.81383869464764,0.328590812913664,0.328590812913664,0.328590812913664
"7",6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,6.52461610474003,3.00903964286003,1.71655744500441,3.7265935541539,3.9439750792288,2.51355378326938,1.71655744500441,0.81383869464764,0.81383869464764,2.82592155655245
"8",1.39343607214295,3.00903964286003,1.39343607214295,1.71655744500441,2.51355378326938,2.82592155655245,2.82592155655245,3.7265935541539,2.82592155655245,3.00903964286003,3.51933670705306,3.9439750792288,1.99847198281624,0.81383869464764,4.29104118435006,3.9439750792288,3.28816312231306,3.7265935541539,3.00903964286003,2.2227376567299
"9",0.0691638867408531,0.0691638867408531,0.0691638867408531,0.328590812913664,0.0691638867408531,0.328590812913664,0.0691638867408531,0.328590812913664,0.328590812913664,0.0691638867408531,1.39343607214295,0.328590812913664,1.39343607214295,2.2227376567299,1.39343607214295,1.99847198281624,2.2227376567299,1.71655744500441,1.71655744500441,1.99847198281624
"10",3.28816312231306,3.7265935541539,3.00903964286003,3.00903964286003,3.28816312231306,3.9439750792288,3.7265935541539,2.82592155655245,3.9439750792288,3.7265935541539,4.29104118435006,3.7265935541539,4.85307627095734,3.9439750792288,3.51933670705306,4.85307627095734,4.85307627095734,3.51933670705306,4.29104118435006,4.29104118435006
"11",1.71655744500441,1.39343607214295,3.28816312231306,1.39343607214295,1.39343607214295,1.71655744500441,1.71655744500441,1.99847198281624,1.99847198281624,1.39343607214295,2.51355378326938,1.71655744500441,2.2227376567299,3.28816312231306,2.82592155655245,2.2227376567299,3.00903964286003,2.82592155655245,2.51355378326938,3.00903964286003
"12",0.328590812913664,0.328590812913664,0.328590812913664,0.0691638867408531,0.328590812913664,0.0691638867408531,0.328590812913664,0.0691638867408531,0.0691638867408531,0.328590812913664,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531,0.0691638867408531
"13",2.82592155655245,3.9439750792288,2.82592155655245,2.82592155655245,3.00903964286003,3.00903964286003,3.51933670705306,3.28816312231306,3.28816312231306,3.51933670705306,3.9439750792288,3.51933670705306,4.29104118435006,2.51355378326938,4.85307627095734,4.29104118435006,3.51933670705306,4.29104118435006,4.85307627095734,3.9439750792288
"14",3.51933670705306,2.82592155655245,3.51933670705306,3.51933670705306,3.51933670705306,3.7265935541539,3.00903964286003,3.9439750792288,3.51933670705306,2.82592155655245,3.00903964286003,4.29104118435006,3.9439750792288,6.52461610474003,3.7265935541539,3.51933670705306,4.29104118435006,3.28816312231306,3.9439750792288,3.7265935541539
